start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location_description,location_code,url,date
2024-07-29 11:24:00+02:00,2024-07-29 11:30:00+02:00,2024-07-29,FINISHED,Judo,JUD,Men -73 kg,0,Men -73 kg Elimination Round of 16,M,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 2,JU2,/en/paris-2024/results/judo/men--73-kg/8fnl000100--,2024-07-29
2024-07-29 11:28:00+02:00,2024-07-29 12:07:00+02:00,2024-07-29,FINISHED,Swimming,SWM,Men's 800m Freestyle,0,Men's 800m Freestyle - Heats,M,ATH,Paris La Defense Arena,DEF,Paris La Defense Arena,DEF,/en/paris-2024/results/swimming/men-s-800m-freestyle/heat--------,2024-07-29
2024-07-29 11:30:00+02:00,2024-07-29 11:36:00+02:00,2024-07-29,FINISHED,Judo,JUD,Women -57 kg,0,Women -57 kg Elimination Round of 16,W,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 1,JU1,/en/paris-2024/results/judo/women--57-kg/8fnl000400--,2024-07-29
2024-07-29 11:30:00+02:00,2024-07-29 11:36:00+02:00,2024-07-29,FINISHED,Judo,JUD,Men -73 kg,0,Men -73 kg Elimination Round of 16,M,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 2,JU2,/en/paris-2024/results/judo/men--73-kg/8fnl000200--,2024-07-29
2024-07-29 11:30:00+02:00,2024-07-29 11:37:00+02:00,2024-07-29,FINISHED,Rowing,ROW,Women's Quadruple Sculls,0,Women's Quad. Sculls Repechages,W,TEAM,Nautical St - Flat water,VN1,Vaires-sur-Marne Nautical Stadium - Flat water,VN1,/en/paris-2024/results/rowing/women-s-quadruple-sculls/rep---------,2024-07-29
2024-07-29 11:32:00+02:00,2024-07-29 11:43:00+02:00,2024-07-29,FINISHED,Boxing,BOX,Women's 60kg,0,Women's 60kg - Prelims - Round of 16,W,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/women-s-60kg/8fnl000300--,2024-07-29
2024-07-29 11:36:00+02:00,2024-07-29 11:42:00+02:00,2024-07-29,FINISHED,Judo,JUD,Women -57 kg,0,Women -57 kg Elimination Round of 16,W,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 1,JU1,/en/paris-2024/results/judo/women--57-kg/8fnl000500--,2024-07-29
2024-07-29 11:36:00+02:00,2024-07-29 11:42:00+02:00,2024-07-29,FINISHED,Judo,JUD,Men -73 kg,0,Men -73 kg Elimination Round of 16,M,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 2,JU2,/en/paris-2024/results/judo/men--73-kg/8fnl000300--,2024-07-29
2024-07-29 11:40:00+02:00,2024-07-29 12:05:00+02:00,2024-07-29,FINISHED,Fencing,FEN,Women's Sabre Individual,0,Women's Sabre Individual Table of 32,W,HATH,Grand Palais,GRP,Grand Palais - Blue Piste,FEB,/en/paris-2024/results/fencing/women-s-sabre-individual/r32-000400--,2024-07-29
2024-07-29 11:40:00+02:00,2024-07-29 12:05:00+02:00,2024-07-29,FINISHED,Fencing,FEN,Women's Sabre Individual,0,Women's Sabre Individual Table of 32,W,HATH,Grand Palais,GRP,Grand Palais - Yellow Piste,FEY,/en/paris-2024/results/fencing/women-s-sabre-individual/r32-000800--,2024-07-29
2024-07-29 11:40:00+02:00,2024-07-29 12:05:00+02:00,2024-07-29,FINISHED,Fencing,FEN,Women's Sabre Individual,0,Women's Sabre Individual Table of 32,W,HATH,Grand Palais,GRP,Grand Palais - Green Piste,FEG,/en/paris-2024/results/fencing/women-s-sabre-individual/r32-001200--,2024-07-29
2024-07-29 11:40:00+02:00,2024-07-29 12:05:00+02:00,2024-07-29,FINISHED,Fencing,FEN,Women's Sabre Individual,0,Women's Sabre Individual Table of 32,W,HATH,Grand Palais,GRP,Grand Palais - Red Piste,FER,/en/paris-2024/results/fencing/women-s-sabre-individual/r32-001600--,2024-07-29
2024-07-29 11:40:00+02:00,2024-07-29 11:57:00+02:00,2024-07-29,FINISHED,Rowing,ROW,Men's Eight,0,Men's Eight Heats,M,TEAM,Nautical St - Flat water,VN1,Vaires-sur-Marne Nautical Stadium - Flat water,VN1,/en/paris-2024/results/rowing/men-s-eight/heat--------,2024-07-29
2024-07-29 11:42:00+02:00,2024-07-29 11:48:00+02:00,2024-07-29,FINISHED,Judo,JUD,Women -57 kg,0,Women -57 kg Elimination Round of 16,W,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 1,JU1,/en/paris-2024/results/judo/women--57-kg/8fnl000600--,2024-07-29
2024-07-29 11:42:00+02:00,2024-07-29 11:48:00+02:00,2024-07-29,FINISHED,Judo,JUD,Men -73 kg,0,Men -73 kg Elimination Round of 16,M,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 2,JU2,/en/paris-2024/results/judo/men--73-kg/8fnl000400--,2024-07-29
2024-07-29 11:48:00+02:00,2024-07-29 11:59:00+02:00,2024-07-29,FINISHED,Boxing,BOX,Men's 63.5kg,0,Men's 63.5kg - Prelims - Round of 16,M,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/men-s-63-5kg/8fnl000100--,2024-07-29
2024-07-29 11:48:00+02:00,2024-07-29 11:54:00+02:00,2024-07-29,FINISHED,Judo,JUD,Women -57 kg,0,Women -57 kg Elimination Round of 16,W,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 1,JU1,/en/paris-2024/results/judo/women--57-kg/8fnl000700--,2024-07-29
